Date,Title,Author
1/23/23,Lavender House,Lev Ac Rosen
1/31/23,The Towers of Midnight,Robert Jordan and Brandon Sanderson 
2/7/23,Kraken,China Miéville
2/9/23,A Head Full of Ghosts,Paul Tremblay 
2/19/23,The Alloy of Law,Brandon Sanderson 
2/25/23,Abode,Morgan Sylvia
2/27/23,Into The Drowning Deep,Mira Grant
4/2/23,A Memory of Light,Robert Jordan and Brandon Sanderson 
4/8/23,Another Way to Fall,Brian Evanson and Paul Tremblay
4/11/23,How to Sell a Haunted House,Grady Hendrix
4/11/23,The Nest,Kenneth Oppel
4/17/23,Sourcery,Terry Pratchett 
4/27/23,Shadows of Self,Brandon Sanderson 
4/30/23,A Prayer for the Crown Shy,Becky Chambers
5/9/23,Zoey Punches the Future in the Dick,David Wong
5/12/23,A Court of Thorns and Roses,Sarah J. Maas
5/21/23,Bullshit Jobs,David. Graeber
6/8/23,Mistborn Secret History ,Brandon Sanderson 
6/13/23,A Deadly Education ,Naomi Novik
6/21/23,The Bands of Mourning,Brandon Sanderson 
7/1/23,The Last Graduate,Naomi Novik
7/9/23,The Lost Metal,Brandon Sanderson 
7/11/23,The Golden Enclaves,Naomi Novik
7/16/23,Plain Bad Heroines,Emily Danforth
7/23/23,A Court of Mist and Fury,Sarah J. Maas
7/25/23,Capitalist Realism,Mark Fisher
8/2/23,A Caribbean Heiress in Paris,Adriana Herrera
8/6/23,Tress of the Emerald Sea,Brandon Sanderson 
8/14/23,Nona the Ninth,Tamsyn Muir
8/19/23,The Hobbit,JRR Tolkien 
9/16/23,Beware the Woman,Megan Abbot
9/27/23,Upgrade,Blake Crouch
10/3/23,The Mimicking of Known Successes,Malka Older
10/15/23,Raw Dog,Jaime Loftus
10/25/23,The Transgender Issue: Trans Justice is Justice for All,Shone Faye
10/26/23,Ashes of the Sun,Django Wexler
11/4/23,The Way of Kings,Brandon Sanderson 
11/9/23,A Court of Wings and Ruin,Sarah J. Maas
11/19/23,The Supernatural Enhancements,Edgar Cantero
11/23/23,I'm Thinking of Ending Things,Iain Reid
12/7/23,Words of Radiance,Brandon Sanderson 
12/12/23,A Court of Frost and Starlight,Sarah J. Maas
12/18/23,What Stalks Among Us,Sarah Hollowell
12/28/23,Chain Gang All Stars,Nana Kwame Adjei-Brenyah
12/30/23,Edgedancer,Brandon Sanderson 
1/9/2024,The Devil in the White City,Erik Larson 
1/22/24,Doppelganger ,Naomi Klein 
1/23/24,Oathbringer,Brandon Sanderson 
